Month Year,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Count of Handovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Sep-21,NWAS,Macclesfield General,569,64.08%,439,77.15%,169,29.70%,44,7.73%,15,2.64%,132.59,60.76,18.32,150.47,28.22,51.44,267.67,0.23
Sep-21,SECAmb,Maidstone Hospital,"1,310",93.44%,600,45.80%,76,5.80%,3,0.23%,0,0.00%,73.95,12.1,0.35,70.48,16.3,25.5,355.99,0.06
Sep-21,NWAS,Manchester Royal Infirmary,"1,748",80.44%,"1,086",62.13%,243,13.90%,72,4.12%,33,1.89%,241.3,104.3,41.38,176.22,21.98,40.86,640.22,0.14
Sep-21,SECAmb,Medway Maritime Hospital,"3,229",94.69%,"1,746",54.07%,680,21.06%,264,8.18%,110,3.41%,642.52,382.27,159.82,265.38,24.87,53.46,"1,338.23",0.2
Sep-21,SCAS,Milton Keynes General Hospital,"1,791",90.32%,"1,042",58.18%,224,12.51%,37,2.07%,10,0.56%,188.95,62.79,12.3,128,19.85,31.99,592.6,0.11
Sep-21,SWAS,Musgrove Park Hospital,"2,253",100.00%,778,34.53%,153,6.79%,21,0.93%,5,0.22%,137.97,45.05,11.05,280.4,14.87,25.88,558.37,0.06
Sep-21,WMAS,New Cross,"4,265",92.02%,"2,613",61.27%,"1,388",32.54%,872,20.45%,556,13.04%,"1,948.50","1,493.26",950.05,460,40.84,105.3,"2,903.21",0.46
Sep-21,WMAS,New Queen Elizabeth Hosp,"3,479",85.48%,"2,706",77.78%,"1,221",35.10%,668,19.20%,483,13.88%,"1,998.33","1,546.27","1,116.57",627,48.81,125.45,"2,829.91",0.57
Sep-21,LAS,Newham,"1,469",80.85%,"1,336",90.95%,698,47.52%,129,8.78%,129,8.78%,485.23,224.9,70.59,231.72,34.4,56.1,842.33,0.33
Sep-21,EEAST,Norfolk & Norwich University Hospital,"3,132",80.04%,"2,104",67.18%,"1,060",33.84%,540,17.24%,301,9.61%,"1,221.40",851.42,476.58,302.95,37.04,89.39,"1,933.68",0.39
Sep-21,SWAS,North Devon District Hospital,"1,347",100.00%,570,42.32%,154,11.43%,26,1.93%,7,0.52%,122.19,44.7,10.23,179.4,16.65,33.06,373.84,0.09
Sep-21,SCAS,North Hants Hospital,"1,737",92.64%,431,24.81%,129,7.43%,47,2.71%,22,1.27%,129.42,70.67,30.99,227.38,15.61,29.09,451.89,0.07
Sep-21,NWAS,North Manchester General,943,58.14%,691,73.28%,286,30.33%,109,11.56%,57,6.04%,282.99,168.43,82.88,225.7,31.99,72.72,502.72,0.3
Sep-21,LAS,North Middlesex,"2,240",93.33%,"1,911",85.31%,"1,113",49.69%,180,8.04%,180,8.04%,728.68,349.36,83.34,219.3,33.79,57.11,"1,261.62",0.33
Sep-21,NEAS,North Tees Hospital A&E,507,36.85%,320,63.12%,95,18.74%,23,4.54%,11,2.17%,81.52,61.18,30,179.75,22.78,63.98,192.47,0.16
Sep-21,EMAS,Northampton General Hospital,"2,868",100.00%,"2,042",71.20%,599,20.89%,89,3.10%,36,1.26%,"1,093.60",335.11,65.69,198.65,23.79,41.65,"1,137.19",0.38
Sep-21,YAS,Northern General Hospital,"2,516",79.12%,"1,870",74.32%,970,38.55%,311,12.36%,124,4.93%,786.05,443.46,161.94,232.67,32.32,65.5,"1,355.43",0.31
Sep-21,LAS,Northwick Park,"3,336",95.10%,"1,484",44.48%,599,17.96%,174,5.22%,174,5.22%,538.49,313.7,132.47,197.5,21.85,45.86,"1,215.06",0.16
Sep-21,EMAS,Nottingham City Hospital Campus,618,100.00%,452,73.14%,184,29.77%,50,8.09%,29,4.69%,278.58,136.41,56.74,283.33,29.86,58.55,307.59,0.45
Sep-21,NEAS,Nsec A&E,"2,557",88.85%,"1,612",63.04%,552,21.59%,135,5.28%,40,1.56%,433.16,335.43,150.31,159.37,23.76,66.74,"1,012.42",0.17
Sep-21,EEAST,Peterborough City Hospital,"1,771",84.90%,"1,658",93.62%,"1,030",58.16%,476,26.88%,297,16.77%,"1,191.42",853.96,511.87,370.78,55.17,120.45,"1,628.42",0.67
Sep-21,EMAS,Peterborough City Hospital,751,99.73%,691,92.01%,481,64.05%,275,36.62%,193,25.70%,956.9,728.04,481.38,592,74.68,157.83,934.68,1.27
Sep-21,YAS,Pinderfields General Hospital,"2,723",81.50%,"1,439",52.85%,714,26.22%,168,6.17%,43,1.58%,526.86,271.22,70.89,281.15,23.11,51.07,"1,048.69",0.19
Sep-21,SWAS,Poole Hospital,"1,916",100.00%,938,48.96%,412,21.50%,142,7.41%,62,3.24%,390.57,231.11,103.78,302.23,24.22,54.32,773.44,0.2
Sep-21,EEAST,Princess Alexandra Hospital,"1,425",80.10%,"1,155",81.05%,704,49.40%,337,23.65%,196,13.75%,828.88,601.32,357.41,540.87,49.1,114.75,"1,166.03",0.58
Sep-21,WMAS,Princess Royal,"1,645",80.99%,"1,039",63.16%,490,29.79%,269,16.35%,159,9.67%,635.91,460.59,281.9,420,36.86,88.57,"1,010.65",0.39
Sep-21,SECAmb,Princess Royal Hospital,636,84.91%,381,59.91%,93,14.62%,10,1.57%,3,0.47%,73.24,21.27,2.55,109.72,20.37,32.61,215.97,0.12
Sep-21,LAS,Princess Royal; Farnborough,"1,533",83.68%,"1,046",68.23%,416,27.14%,163,10.63%,163,10.63%,466.9,301.35,176.06,329.28,31.94,72.63,816.14,0.3
Sep-21,SCAS,Queen Alexandra Hospital,"3,848",91.18%,"2,248",58.42%,"1,514",39.35%,"1,003",26.07%,740,19.23%,"2,601.49","2,158.86","1,540.58",439.83,53.58,123.18,"3,436.30",0.68
Sep-21,NEAS,Queen Elizabeth Emrg Hub,"1,551",94.63%,631,40.68%,58,3.74%,18,1.16%,7,0.45%,81.73,42.67,23.97,173.17,15.46,52.02,399.77,0.05
Sep-21,EEAST,Queen Elizabeth Hospital,"1,615",91.45%,"1,010",62.54%,537,33.25%,306,18.95%,199,12.32%,750.61,573.07,370.8,537.72,41.5,105,"1,117.04",0.46
Sep-21,LAS,Queen Elizabeth Ii; Woolwich,"2,311",90.52%,687,29.73%,90,3.89%,45,1.95%,45,1.95%,143.54,79.16,49.21,267.8,15.32,25.62,590.05,0.06
Sep-21,SECAmb,Queen Elizabeth Queen Mother Hospital,"2,548",95.72%,"1,731",67.94%,291,11.42%,8,0.31%,0,0.00%,245.82,39.28,1.27,74.28,19.66,30.52,834.88,0.1
Sep-21,EMAS,Queens Medical Centre Campus Hospital,"5,099",99.98%,"2,821",55.32%,752,14.75%,127,2.49%,53,1.04%,"1,465.82",393.84,76.98,169.73,20.15,35.47,"1,712.10",0.29
Sep-21,LAS,Queens; Romford - A&E,"2,169",84.73%,"2,099",96.77%,"1,565",72.15%,341,15.72%,341,15.72%,"1,316.63",842.5,412.42,455.67,51.3,93.83,"1,854.58",0.61
Sep-21,YAS,Rotherham District General Hos,"1,799",88.14%,955,53.09%,441,24.51%,206,11.45%,117,6.50%,488.35,326.97,176.23,247.1,28.53,69.24,855.4,0.27
Sep-21,NWAS,Royal Albert Edward Infirmary,962,52.92%,753,78.27%,374,38.88%,95,9.88%,26,2.70%,276.44,140.14,42.19,220.37,31.34,60.85,502.51,0.29
Sep-21,SCAS,Royal Berkshire Hospital,"2,575",79.97%,"1,464",56.85%,300,11.65%,75,2.91%,43,1.67%,313.99,132.02,59.94,261.4,20.55,34.65,881.92,0.12
Sep-21,NWAS,Royal Blackburn,"2,965",89.07%,"2,111",71.20%,433,14.60%,15,0.51%,0,0.00%,345.24,63.29,1.22,73.67,20.98,33.2,"1,036.75",0.12
Sep-21,NWAS,Royal Bolton,"1,836",88.18%,"1,077",58.66%,435,23.69%,171,9.31%,71,3.87%,410.32,240.36,106.55,258.25,26.56,53.23,812.64,0.22
Sep-21,SWAS,Royal Bournemouth Hospital,"1,933",100.00%,"1,247",64.51%,695,35.95%,325,16.81%,174,9.00%,724.53,487.2,250.56,301.95,35.42,77.87,"1,141.17",0.37
Sep-21,EMAS,Royal Derby Hospital,"3,865",100.00%,"2,836",73.38%,844,21.84%,189,4.89%,79,2.04%,"1,623.95",524.66,144.99,220.08,25.22,45.48,"1,624.45",0.42
Sep-21,SWAS,Royal Devon And Exeter Wonford,"2,997",100.00%,"1,247",41.61%,200,6.67%,6,0.20%,2,0.07%,175.91,26.53,2.38,121.37,15.12,26.68,755.47,0.06
Sep-21,LAS,Royal Free,"1,370",87.04%,"1,219",88.98%,524,38.25%,105,7.66%,105,7.66%,383.59,165.72,51.58,233.55,31.28,51.77,714.29,0.28
Sep-21,SCAS,Royal Hampshire County Hospital,"1,316",93.33%,489,37.16%,139,10.56%,38,2.89%,13,0.99%,117.23,55.11,17.86,195.83,17.75,31.1,389.24,0.09
Sep-21,NWAS,Royal Lancaster Infirmary,"1,307",84.93%,945,72.30%,265,20.28%,19,1.45%,2,0.15%,191.19,51.9,5.75,109.9,22.74,37.85,495.31,0.15
Sep-21,NWAS,Royal Liverpool University,"1,546",70.21%,701,45.34%,211,13.65%,61,3.95%,20,1.29%,186.9,87.49,29.82,185.37,19.34,37.99,498.38,0.12
Sep-21,LAS,Royal London (Whitechapel),"1,884",84.67%,"1,552",82.38%,324,17.20%,11,0.58%,11,0.58%,282.21,33.92,3.44,109.45,23.18,32.05,727.9,0.15
Sep-21,NWAS,Royal Oldham,"1,211",62.68%,957,79.03%,445,36.75%,169,13.96%,86,7.10%,449.43,280.87,143.5,373.42,36.55,75.36,737.78,0.37
Sep-21,NWAS,Royal Preston,"1,825",85.40%,"1,357",74.36%,610,33.42%,294,16.11%,177,9.70%,712.97,484.95,280.62,332.68,37.54,83.71,"1,141.76",0.39
Sep-21,WMAS,Royal Shrewsbury,"1,220",73.89%,"1,084",88.85%,766,62.79%,515,42.21%,359,29.43%,"1,297.18","1,071.18",760.68,554,78.3,174.44,"1,592.16",1.06
Sep-21,WMAS,Royal Stoke Univ Hosp,"3,994",82.28%,"3,021",75.64%,"1,292",32.35%,546,13.67%,338,8.46%,"1,441.56",940.33,534.64,304.92,35.64,77.25,"2,372.46",0.36
Sep-21,SECAmb,Royal Surrey County Hospital,"1,266",93.09%,650,51.34%,124,9.79%,13,1.03%,1,0.08%,101.78,26.84,2.99,144.88,17.92,29.29,378.14,0.08
Sep-21,SECAmb,Royal Sussex County Hospital,"2,268",86.96%,"1,692",74.60%,754,33.25%,227,10.01%,59,2.60%,576.55,292.34,82.13,151.08,29.24,57.43,"1,105.23",0.25
Sep-21,SWAS,Royal United Hospital - Bath,"2,504",100.00%,"1,339",53.47%,690,27.56%,370,14.78%,233,9.31%,871.21,636.12,383.29,477.57,33.15,80.52,"1,383.32",0.35
Sep-21,WMAS,Russells Hall,"3,291",91.59%,"2,515",76.42%,"1,121",34.06%,546,16.59%,341,10.36%,"1,360.72",939.89,558.99,365,39.1,85.83,"2,144.40",0.41
Sep-21,NEAS,Rvi A&E,"1,878",68.52%,954,50.80%,108,5.75%,3,0.16%,0,0.00%,113.84,40.84,2.46,68.27,16.25,51.83,508.76,0.06
Sep-21,NWAS,Salford Royal,"1,615",79.13%,"1,080",66.87%,278,17.21%,29,1.80%,7,0.43%,215.31,57.72,9.62,123.33,21.82,35.44,587.39,0.13
Sep-21,SWAS,Salisbury District Hospital,"1,139",100.00%,471,41.35%,165,14.49%,49,4.30%,16,1.40%,136.07,68.85,24.73,199.6,18.29,39.02,347.13,0.12
Sep-21,WMAS,Sandwell,"2,197",93.57%,"1,376",62.63%,476,21.67%,218,9.92%,142,6.46%,576.03,374.26,220.82,338.12,29.47,65.63,"1,078.97",0.26
Sep-21,YAS,Scarborough District General Hospital,"1,536",86.34%,916,59.64%,497,32.36%,244,15.89%,135,8.79%,551.2,383.98,213.48,311.27,33.88,73.5,867.21,0.36
Sep-21,EMAS,Scunthorpe General Hospital,"1,387",99.93%,916,66.04%,575,41.46%,343,24.73%,222,16.01%,"1,054.11",725.76,422.08,383.72,45.6,108.25,"1,054.09",0.76
Sep-21,NEAS,South Tyneside Hosp A&E,641,68.05%,477,74.41%,71,11.08%,10,1.56%,2,0.31%,72.05,33.44,10.45,109.72,20.86,56.25,222.87,0.11
Sep-21,SCAS,Southampton General Hospital,"3,559",84.36%,"2,054",57.71%,187,5.25%,10,0.28%,2,0.06%,238.27,25.03,3.11,131.12,17.48,25.02,"1,036.75",0.07
Sep-21,EEAST,Southend University Hospital,"2,246",90.13%,"1,905",84.82%,659,29.34%,195,8.68%,92,4.10%,614,308.77,132.71,302.42,30.89,57.56,"1,156.47",0.27
Sep-21,SWAS,Southmead Hospital,"2,734",100.00%,"2,080",76.08%,"1,226",44.84%,680,24.87%,427,15.62%,"1,675.27","1,275.80",823.3,612.32,50.5,127.24,"2,301.08",0.61
Sep-21,NWAS,Southport District General,"1,013",84.00%,693,68.41%,211,20.83%,38,3.75%,6,0.59%,161.37,60.56,12.13,143.37,23.33,41.82,393.9,0.16
Sep-21,LAS,St Georges; Tooting,"1,741",80.34%,"1,233",70.82%,421,24.18%,14,0.80%,14,0.80%,264.69,70.97,2.7,132.63,22.95,38.39,665.98,0.15
Sep-21,LAS,St Helier,"1,216",88.89%,933,76.73%,179,14.72%,26,2.14%,26,2.14%,170.39,46.79,12.23,153.5,22.66,34.71,459.16,0.14
Sep-21,YAS,St James University Hospital,"1,416",50.28%,777,54.87%,189,13.35%,10,0.71%,1,0.07%,135.35,31.41,1.66,100.62,17.71,32.31,417.99,0.1
Sep-21,IOW,St Mary'S Hospital,"1,400",96.55%,216,15.43%,21,1.50%,3,0.21%,1,0.07%,24.63,5.05,0.84,91.9,11.91,16.89,278.01,0.02
Sep-21,LAS,St Marys; W2,"1,631",89.96%,"1,152",70.63%,301,18.45%,20,1.23%,20,1.23%,231.83,66.51,7.55,155.7,22.39,37.4,608.59,0.14
Sep-21,SECAmb,St Peters Hospital,"2,395",96.69%,"1,546",64.55%,197,8.23%,17,0.71%,4,0.17%,207.22,34.53,4.86,108.78,19.06,28.37,760.87,0.09
Sep-21,SECAmb,St Richards Hospital,"1,636",91.70%,711,43.46%,222,13.57%,77,4.71%,38,2.32%,209.5,113.34,49.69,192.17,19.92,37.85,543.23,0.13
Sep-21,LAS,St Thomas',"2,027",90.45%,"1,335",65.86%,277,13.67%,20,0.99%,20,0.99%,231.03,59.06,5.8,113.02,20.62,33.55,696.66,0.11
Sep-21,NWAS,Stepping Hill,"1,332",74.66%,562,42.19%,97,7.28%,9,0.68%,1,0.08%,79.35,17.8,1.84,117.63,16.09,27.1,357.17,0.06
Sep-21,SCAS,Stoke Mandeville Hospital,"1,706",85.04%,846,49.59%,293,17.17%,108,6.33%,39,2.29%,269.04,145,57.23,264.33,22.37,38.08,635.98,0.16
Sep-21,NEAS,Sunderland Royal A&E,"1,865",75.66%,"1,336",71.64%,342,18.34%,72,3.86%,25,1.34%,302.99,207.28,89.18,196.37,23.6,65.08,733.5,0.16
Sep-21,NWAS,Tameside General,"1,067",62.18%,608,56.98%,159,14.90%,11,1.03%,4,0.37%,114.65,30.75,5.24,179.08,19.69,32.65,350.18,0.11
Sep-21,SWAS,Torbay Hospital,"2,133",100.00%,"1,141",53.49%,581,27.24%,259,12.14%,155,7.27%,662.19,460.82,268.88,489.45,30.76,75.09,"1,093.60",0.31
Sep-21,SWAS,Treliske Hospital,"2,956",100.00%,"2,389",80.82%,"2,028",68.61%,"1,494",50.54%,"1,151",38.94%,"4,228.89","3,680.80","2,816.72",697.88,99.4,232.61,"4,897.29",1.43
Sep-21,SECAmb,Tunbridge Wells Hospital,"1,963",88.34%,"1,026",52.27%,275,14.01%,17,0.87%,1,0.05%,191.98,51.69,2.79,113.13,18.93,33.01,619.36,0.1
Sep-21,NEAS,Uhnd A&E,"1,820",88.87%,"1,222",67.14%,551,30.27%,265,14.56%,154,8.46%,590.84,530.12,394.16,277.58,33.06,104.39,"1,002.85",0.32
Sep-21,WMAS,Uni Hospital Cov & War,"3,630",87.53%,"2,785",76.72%,939,25.87%,309,8.51%,169,4.66%,947.73,515.22,250.21,307.25,29.63,58.38,"1,792.51",0.26
Sep-21,LAS,University College,"1,422",93.18%,766,53.87%,141,9.92%,37,2.60%,37,2.60%,137.16,48.61,15.54,151.83,18.83,33.2,446.19,0.1
Sep-21,WMAS,Walsall Manor,"2,812",93.95%,"1,436",51.07%,210,7.47%,43,1.53%,20,0.71%,224.74,73.99,28,245.55,17.99,28.47,843.01,0.08
Sep-21,NWAS,Warrington,"1,440",91.49%,454,31.53%,118,8.19%,37,2.57%,14,0.97%,111.78,54.02,19.39,201.27,15.77,31.38,378.43,0.08
Sep-21,WMAS,Warwick,"1,625",93.18%,"1,358",83.57%,489,30.09%,139,8.55%,46,2.83%,411.3,193.87,69.35,250.77,29.77,52.66,806.39,0.25
Sep-21,EEAST,Watford General Hospital,"2,199",81.38%,"1,584",72.03%,547,24.87%,197,8.96%,92,4.18%,529.75,291.43,131.03,276.8,28.53,56.84,"1,045.75",0.24
Sep-21,NWAS,West Cumberland,564,62.32%,336,59.57%,61,10.82%,6,1.06%,1,0.18%,52.27,14.15,1.68,90.63,19.09,30.84,179.44,0.09
Sep-21,LAS,West Middlesex,"1,946",95.91%,"1,022",52.52%,139,7.14%,4,0.21%,4,0.21%,137.03,24.31,0.71,83.62,17.11,28.11,554.78,0.07
Sep-21,EEAST,West Suffolk Hospital,"1,866",94.15%,"1,128",60.45%,215,11.52%,62,3.32%,29,1.55%,229.15,91.24,36.21,197.73,20.82,37.11,647.63,0.12
Sep-21,SWAS,Weston General Hospital,960,100.00%,714,74.38%,444,46.25%,300,31.25%,221,23.02%,845.63,708.03,526.39,583.7,66.58,166.21,"1,065.33",0.88
Sep-21,SCAS,Wexham Park Hospital,"3,013",94.87%,"1,181",39.20%,108,3.58%,11,0.37%,4,0.13%,129.63,21.95,4.02,115.75,15.14,22.4,760.22,0.04
Sep-21,LAS,Whipps Cross,"1,278",82.13%,"1,024",80.13%,465,36.38%,200,15.65%,200,15.65%,554.65,376.5,227.68,309.02,40.22,87.78,856.75,0.43
Sep-21,NWAS,Whiston,"1,926",85.18%,"1,099",57.06%,387,20.09%,145,7.53%,76,3.95%,403.14,237.86,116.45,287.7,25.66,48.94,823.58,0.21
Sep-21,LAS,Whittington,"1,217",89.82%,990,81.35%,283,23.25%,16,1.31%,16,1.31%,192.83,46.46,5.94,124.7,23.84,36.52,483.65,0.16
Sep-21,SECAmb,William Harvey Hospital,"2,894",95.26%,"1,338",46.23%,279,9.64%,60,2.07%,8,0.28%,241.99,87.56,14.92,130.02,17.62,31.12,849.87,0.08
Sep-21,WMAS,Worcestershire Royal,"2,415",81.01%,"1,369",56.69%,804,33.29%,564,23.35%,397,16.44%,"1,324.61","1,076.39",743.52,441,46.01,116.16,"1,851.83",0.55
Sep-21,SECAmb,Worthing Hospital,"1,833",87.49%,655,35.73%,84,4.58%,16,0.87%,2,0.11%,81.72,22.14,4.02,105.93,14.78,23.14,451.58,0.04
Sep-21,NWAS,Wythenshawe,"1,617",85.60%,"1,021",63.14%,375,23.19%,119,7.36%,53,3.28%,351.09,191.16,80.78,335.55,26.48,53.39,713.51,0.22
Sep-21,SWAS,Yeovil District Hospital,"1,284",100.00%,429,33.41%,92,7.17%,12,0.93%,4,0.31%,78.55,25.58,6.03,145.73,14.4,26.98,308.18,0.06
Sep-21,YAS,York District Hospital,"1,916",80.95%,727,37.94%,394,20.56%,210,10.96%,131,6.84%,453.24,322.76,183.03,280.33,24.23,65.07,773.73,0.24
Oct-21,EEAST,Addenbrookes Hospital,"2,610",89.81%,"1,959",75.06%,837,32.07%,328,12.57%,187,7.16%,874.76,543.71,292.92,329.07,34.16,75.15,"1,486.15",0.34
Oct-21,NWAS,Aintree University,"1,561",71.70%,"1,056",67.65%,377,24.15%,102,6.53%,49,3.14%,330.5,173.66,74.55,351.93,26.52,50.65,689.84,0.21
Oct-21,YAS,Airedale General Hospital,"1,007",80.43%,269,26.71%,57,5.66%,5,0.50%,1,0.10%,44.55,10.89,1.02,101.18,12.43,23.29,208.55,0.04
Oct-21,NWAS,Alder Hey,15,3.36%,5,33.33%,1,6.67%,1,6.67%,0,0.00%,1.34,0.56,0.06,63.78,17.98,24.23,4.5,0.09
Oct-21,WMAS,Alexandra,"1,746",95.10%,665,38.09%,337,19.30%,162,9.28%,91,5.21%,341.77,231.73,111.3,244.15,23.96,54.23,697.24,0.2
Oct-21,NWAS,Arrowe Park,"1,421",79.52%,840,59.11%,362,25.48%,204,14.36%,140,9.85%,478.56,343.78,214,350.47,33.41,76.78,791.19,0.34
Oct-21,LAS,Barnet,"1,253",89.89%,"1,160",92.58%,651,51.96%,241,19.23%,241,19.23%,686.53,459.28,271.68,492.47,47.58,100.5,993.68,0.55
Oct-21,EEAST,Barnet General Hospital,343,73.92%,319,93.00%,188,54.81%,72,20.99%,40,11.66%,189.82,125.15,67.87,296.9,47.85,103.91,273.54,0.55
Oct-21,YAS,Barnsley District General,"1,902",85.99%,"1,223",64.30%,571,30.02%,193,10.15%,85,4.47%,499.47,283.82,121.08,343.3,28.72,61.01,910.45,0.26
Oct-21,EEAST,Basildon & Thurrock Hospital,"2,270",90.91%,"1,387",61.10%,397,17.49%,101,4.45%,51,2.25%,353.73,162.71,62.26,219.9,22.85,42.31,864.48,0.16
Oct-21,EMAS,Bassetlaw District General Hospital,824,100.00%,633,76.82%,208,25.24%,58,7.04%,24,2.91%,375.68,134.53,41.69,171.92,27.29,50.83,374.78,0.46
Oct-21,EEAST,Bedford Hospital South Wing,"1,526",92.65%,804,52.69%,199,13.04%,79,5.18%,40,2.62%,213.63,115.27,54.48,252.45,21.71,43.55,552.18,0.14
Oct-21,WMAS,Birmingham Childrens,791,81.21%,245,30.97%,29,3.67%,2,0.25%,0,0.00%,27.92,4.96,0.04,61.63,13.77,21.36,181.57,0.04
Oct-21,NWAS,Blackpool Victoria,"1,975",78.31%,"1,467",74.28%,728,36.86%,301,15.24%,169,8.56%,773.87,514.9,282.93,452.28,37.44,78.14,"1,232.54",0.39
Oct-21,EMAS,Boston Pilgrim Hospital,"1,818",100.00%,"1,654",90.98%,862,47.41%,423,23.27%,326,17.93%,"1,840.25","1,181.29",728.71,394,54.47,131.29,"1,650.48",1.01
Oct-21,YAS,Bradford Royal Infirmary,"2,126",69.52%,"1,353",63.64%,788,37.06%,339,15.95%,167,7.86%,757.16,498.61,242.74,280.78,33.96,77.74,"1,203.24",0.36
Oct-21,SWAS,Bristol Royal Hosp For Children,621,100.00%,318,51.21%,89,14.33%,13,2.09%,6,0.97%,74.36,28.89,8.63,186.67,19.21,37.68,198.77,0.12
Oct-21,SWAS,Bristol Royal Infirmary,"2,049",100.00%,"1,702",83.06%,"1,375",67.11%,932,45.49%,699,34.11%,"2,865.55","2,480.60","1,913.71",690.82,97.71,246.01,"3,336.64",1.4
Oct-21,EEAST,Broomfield Hospital,"2,170",90.64%,"1,531",70.55%,610,28.11%,268,12.35%,141,6.50%,642.82,407.78,208.79,277.5,31.86,66.73,"1,152.23",0.3
Oct-21,WMAS,Burton,"1,086",92.74%,748,68.88%,209,19.24%,103,9.48%,61,5.62%,252.51,157.74,87.27,232.98,28.08,57.32,508.3,0.23
Oct-21,EMAS,Burton Queens Hospital,400,100.00%,316,79.00%,106,26.50%,44,11.00%,27,6.75%,209.9,96.38,49.65,369.73,32.23,58.88,214.89,0.52
Oct-21,YAS,Calderdale Royal Hospital,861,50.20%,460,53.43%,210,24.39%,65,7.55%,29,3.37%,176.6,95.81,37.29,182.72,23.73,50.47,340.56,0.21
Oct-21,LAS,Charing Cross,"1,197",89.93%,342,28.57%,28,2.34%,1,0.08%,1,0.08%,28.79,3.22,0.02,61.02,13.02,19.76,259.8,0.02
Oct-21,LAS,Chelsea & Westminster,"1,278",86.29%,781,61.11%,38,2.97%,6,0.47%,6,0.47%,86.4,11.04,2.24,116.98,17.66,26.03,376.13,0.07
Oct-21,SWAS,Cheltenham General Hospital,549,100.00%,192,34.97%,67,12.20%,17,3.10%,11,2.00%,59.19,28.67,12.22,168.92,16.77,37.26,153.45,0.11
Oct-21,EMAS,Chesterfield Royal Hospital,"2,234",100.00%,"1,505",67.37%,368,16.47%,17,0.76%,1,0.04%,752.03,156.58,6.34,99.7,20.96,33.78,780.33,0.34
Oct-21,WMAS,City (Birmingham),"2,145",90.85%,889,41.45%,224,10.44%,82,3.82%,49,2.28%,241.56,132.51,65.87,293.73,19.13,37.27,684.03,0.11
Oct-21,EEAST,Colchester General Hospital,"2,948",94.79%,"2,458",83.38%,463,15.71%,138,4.68%,61,2.07%,523.26,208.05,84.9,299.22,25.27,42,"1,241.51",0.18
Oct-21,SECAmb,Conquest Hospital,"1,596",84.13%,996,62.41%,190,11.90%,26,1.63%,4,0.25%,152,44.53,5.7,101.35,19.69,33.1,523.83,0.1
Oct-21,NWAS,Countess Of Chester,821,73.50%,610,74.30%,206,25.09%,24,2.92%,3,0.37%,148.5,51.75,8.14,178.15,24.91,43.66,340.92,0.18
Oct-21,WMAS,County Hospital (Stafford),923,96.95%,376,40.74%,85,9.21%,17,1.84%,6,0.65%,70.33,28.72,8.45,143.77,17.45,28.22,268.46,0.08
Oct-21,LAS,Croydon University (Mayday),"2,091",90.17%,"1,753",83.84%,383,18.32%,114,5.45%,114,5.45%,453.39,208.26,107.45,423.75,27.59,48.32,961.51,0.22
Oct-21,NWAS,Cumberland Infirmary,"1,269",79.56%,808,63.67%,157,12.37%,33,2.60%,14,1.10%,144.86,45.89,15.98,190.98,20.51,35.19,433.76,0.11
Oct-21,SECAmb,Darent Valley Hospital,"1,930",87.17%,"1,144",59.27%,227,11.76%,21,1.09%,2,0.10%,181.03,45.38,5.67,130.1,19.24,31.24,618.81,0.09
Oct-21,NEAS,Darlington Memorial A&E,"1,191",81.41%,829,69.61%,353,29.64%,181,15.20%,109,9.15%,419.65,378.25,302.59,266.57,34.85,105.23,691.81,0.35
Oct-21,SWAS,Derriford Hospital,"3,022",100.00%,"2,155",71.31%,"1,614",53.41%,"1,060",35.08%,807,26.70%,"3,078.49","2,612.34","1,964.57",635.33,74.04,202.59,"3,728.97",1.02
Oct-21,YAS,Doncaster Royal Infirmary,"2,074",78.15%,"1,376",66.35%,783,37.75%,377,18.18%,209,10.08%,816.55,556.6,287.71,323.13,36.35,84.71,"1,256.51",0.39
Oct-21,SWAS,Dorset County Hospital,"1,494",100.00%,385,25.77%,168,11.24%,58,3.88%,15,1.00%,131.37,69.59,19.83,138.47,14.74,34.6,367.02,0.09
Oct-21,LAS,Ealing,"1,281",92.83%,539,42.08%,144,11.24%,18,1.41%,18,1.41%,115.13,45.49,12.59,189.23,17.65,30.78,376.81,0.09
Oct-21,SECAmb,East Surrey Hospital,"3,035",97.37%,"2,061",67.91%,281,9.26%,19,0.63%,4,0.13%,281.4,47.84,5.83,132.17,19.65,29.45,994.14,0.09
Oct-21,SECAmb,Eastbourne Dgh,"1,502",89.40%,724,48.20%,166,11.05%,23,1.53%,3,0.20%,128.48,41.6,5.86,97.47,17.9,30.47,448.03,0.09
Oct-21,SECAmb,Epsom Hospital,"1,051",94.94%,610,58.04%,72,6.85%,0,0.00%,0,0.00%,72.87,8.1,0,57.68,17.91,26.44,313.7,0.07
